,X,name,status,region,city,funding_rounds,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,total_investment,market_type,diff_funding_year,status_label,total_investment_label,diff_funding_year_label,funding_rounds_label,seed_label,venture_label,total_investment_cde,diff_funding_year_cde,funding_rounds_cde,seed_cde,venture_cde
22380,42,3ClickEMR Corporation,closed,Boston,West Roxbury,2,250000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00E+05,1,0.916666667,0,low_medium,low,low,low,low,1,0,0,0,0
22381,7288,Nail Your Mortgage,closed,Chicago,Chicago,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3100000,1,0,0,low_medium,low,low,low,low,1,0,0,0,0
22382,3901,Feedgen,closed,SF Bay Area,San Francisco,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.083333333,0,low,low,high,low,low,0,0,1,0,0
22383,11929,Viacor,closed,Boston,Wilmington,3,0,8200000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27209671,0,8.083333333,0,high,high,high,low,medium,3,1,1,0,1
22384,12428,World Blender,closed,Seattle,Seattle,1,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,1,0,0,low,low,low,low,low,0,0,0,0,0
22385,3981,FireStar Software,closed,Boston,Boxborough,1,0,980000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1960000,1,0,0,low_medium,low,low,low,low,1,0,0,0,0
22386,5017,Hopscotch,closed,SF Bay Area,San Francisco,2,0,2.00E+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E+06,1,2.833333333,0,low_medium,high,low,low,medium,1,1,0,0,1
22387,7262,MyShape,closed,Los Angeles,Glendale,4,0,2.80E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45500000,0,3.25,0,high,high,high,low,high,3,1,1,0,2
22388,11017,Telera,closed,SF Bay Area,Campbell,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.083333333,0,low,high,high,low,low,0,1,1,0,0
22389,6301,Local Marketers,closed,Seattle,Seattle,1,0,4100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4100000,0,0,0,high_medium,low,low,low,medium,2,0,0,0,1
22390,1910,Car Guy Nation,closed,New York City,White Plains,2,950000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100000,1,1.666666667,0,low_medium,high,low,high,low,1,1,0,1,0
22391,1405,Bizak,closed,Boston,Brookline,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,low,low,low,low,low,0,0,0,0,0
22392,9661,SearchMe,closed,SF Bay Area,San Francisco,6,0,43600000,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,90514300,0,3.833333333,0,high,high,high,low,high,3,1,1,0,2
22393,4460,gis.to,closed,Chicago,Chicago,1,2454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2454,0,0,0,low,low,low,low,low,0,0,0,0,0
22394,2091,Certain Communications,closed,Los Angeles,Sherman Oaks,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170000,1,0,0,low,low,low,low,low,0,0,0,0,0
22395,7284,N-Sided,closed,SF Bay Area,San Francisco,1,0,378000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,756000,1,0,0,low_medium,low,low,low,low,1,0,0,0,0
22396,12423,Workstreamer,closed,Austin,Austin,2,0,3500000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.00E+06,1,1.5,0,high_medium,high,low,low,medium,2,1,0,0,1
22397,4031,Flash Ventures,closed,New York City,New York,2,0,611387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611387,0,0.5,0,low_medium,low,low,low,low,1,0,0,0,0
22398,12652,Zango,closed,Seattle,Bellevue,2,0,4.00E+07,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.00E+07,0,2.25,0,high,high,low,low,high,3,1,0,0,2
22399,12296,What They Like,closed,SF Bay Area,San Francisco,1,0,990000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1980000,1,0,0,low_medium,low,low,low,low,1,0,0,0,0
22400,5992,KwiClick,closed,New York City,New York,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,low,low,low,low,low,0,0,0,0,0
22401,7180,MuseStorm,closed,SF Bay Area,Sunnyvale,2,0,1.00E+06,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2429763,1,1.5,0,low_medium,high,low,low,low,1,1,0,0,0
22402,3624,Epy.io,closed,New York City,Brooklyn,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000,1,0,0,low,low,low,low,low,0,0,0,0,0
22403,6136,Levanta,closed,SF Bay Area,San Mateo,1,0,8.00E+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E+06,1,0,0,high_medium,low,low,low,medium,2,0,0,0,1
22404,9127,Reef Point Systems,closed,Boston,Burlington,3,0,5.20E+07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.70E+07,0,1.916666667,0,high,high,high,low,high,3,1,1,0,2
22405,8032,PacketHop,closed,SF Bay Area,Redwood City,1,0,1.00E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.00E+07,1,0,0,high_medium,low,low,low,medium,2,0,0,0,1
