"","name","status","region","city","funding_rounds","seed","venture","equity_crowdfunding","undisclosed","convertible_note","debt_financing","angel","grant","private_equity","post_ipo_equity","post_ipo_debt","secondary_market","product_crowdfunding","round_A","round_B","round_C","round_D","round_E","round_F","round_G","round_H","total_investment","market_type","diff_funding_year","status_label","total_investment_label","diff_funding_year_label","funding_rounds_label","seed_label","venture_label","total_investment_cde","diff_funding_year_cde","funding_rounds_cde","seed_cde","venture_cde"
"7244","MyLikes","operating","SF Bay Area","San Francisco",2,630000,5600000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11830000,0,0.583333333333333,1,"high_medium","low","low","high","medium",2,0,0,1,1
"7245","myLINGO","operating","Los Angeles","Los Angeles",1,0,1125007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125007,0,0,1,"low_medium","low","low","low","low",1,0,0,0,0
"7246","MyMedLeads.com","operating","Austin","Austin",1,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350000,1,0,1,"low_medium","low","low","high","low",1,0,0,1,0
"7247","myMedScore","operating","New York City","New York",1,19615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19615,0,0,1,"low","low","low","low","low",0,0,0,0,0
"7248","MyMiniLife","acquired","SF Bay Area","Palo Alto",3,50000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430000,0,1,2,"low_medium","low","high","low","low",1,0,1,0,0
"7249","MyMundus","operating","SF Bay Area","Sunnyvale",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55000,0,0,1,"low","low","low","low","low",0,0,0,0,0
"7250","MynewMD","operating","Boston","Boston",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"low","low","low","low","low",0,0,0,0,0
"7251","MyNewPlace","acquired","SF Bay Area","San Francisco",2,0,2e+07,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4e+07,0,0.416666666666667,2,"high","low","low","low","high",3,0,0,0,2
"7252","MyNines","operating","New York City","New York",1,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e+05,1,0,1,"low_medium","low","low","high","low",1,0,0,1,0
"7253","Myoonet","operating","Seattle","Seattle",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+05,0,0,1,"low","low","low","low","low",0,0,0,0,0
"7254","myOrder","operating","SF Bay Area","San Francisco",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220000,1,0,1,"low","low","low","low","low",0,0,0,0,0
"7255","MyoScience","operating","SF Bay Area","Redwood City",3,0,9.7e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1.94e+08,1,2.41666666666667,1,"high","high","high","low","high",3,1,1,0,2
"7256","myPizza.com","operating","SF Bay Area","Mountain View",1,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,1,"low","low","low","low","low",0,0,0,0,0
"7257","MYR","operating","Chicago","Rolling Meadows",2,0,9521365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9521365,0,3.41666666666667,1,"high_medium","high","low","low","medium",2,1,0,0,1
"7258","Myriant Technologies","operating","Boston","Quincy",2,0,6e+07,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1e+08,1,1.08333333333333,1,"high","low","low","low","high",3,0,0,0,2
"7259","Myrio","closed","Seattle","Bothell",1,0,20500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20500000,0,0,0,"high_medium","low","low","low","high",2,0,0,0,2
"7260","Mysafeplace","operating","Boston","Carlisle",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"low","low","low","low","low",0,0,0,0,0
"7261","MySalescamp","operating","SF Bay Area","Mountain View",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280000,1,0,1,"low","low","low","low","low",0,0,0,0,0
"7262","MyShape","closed","Los Angeles","Glendale",4,0,2.8e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45500000,0,3.25,0,"high","high","high","low","high",3,1,1,0,2
"7263","myShavingClub.com","operating","Chicago","Addison",1,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,1,0,1,"low","low","low","low","low",0,0,0,0,0
"7264","MySongToYou","operating","Los Angeles","Woodland Hills",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+05,0,0,1,"low","low","low","low","low",0,0,0,0,0
"7265","MyStore.com","operating","SF Bay Area","San Francisco",3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120000,0,2.16666666666667,1,"low_medium","high","high","low","low",1,1,1,0,0
"7266","MyStream","operating","New York City","New York",2,0,5e+05,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9e+05,1,0.666666666666667,1,"low_medium","low","low","low","low",1,0,0,0,0
"7267","mySupermarket","operating","New York City","New York",6,0,32800000,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,65600000,1,6.91666666666667,1,"high","high","high","low","high",3,1,1,0,2
"7268","myTAG.com","operating","SF Bay Area","San Jose",1,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+05,1,0,1,"low","low","low","low","low",0,0,0,0,0
"7269","MyTennisLessons","operating","Austin","Austin",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"low","low","low","low","low",0,0,0,0,0
"7270","MyTime","operating","SF Bay Area","San Francisco",1,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e+06,1,0,1,"low_medium","low","low","high","low",1,0,0,1,0
"7271","myTips","operating","SF Bay Area","San Francisco",3,164000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164000,0,0.75,1,"low","low","high","low","low",0,0,1,0,0
"7272","Mytopia","acquired","SF Bay Area","Palo Alto",2,0,3200000,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6700000,0,1.16666666666667,2,"high_medium","low","low","low","medium",2,0,0,0,1
"7273","MyTraining.pro","operating","SF Bay Area","San Francisco",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"low","low","low","low","low",0,0,0,0,0
